obsnme,obsval,weight,obgnme
loc000n000,67.6,1.0,07574X0014
loc000n001,75.24,1.0,07574X0014
loc000n002,75.39,1.0,07574X0014
loc000n003,75.9,1.0,07574X0014
loc000n004,77.34,1.0,07574X0014
loc000n005,78.24,1.0,07574X0014
loc000n006,78.13,1.0,07574X0014
loc000n007,77.62,1.0,07574X0014
loc000n008,78.13,1.0,07574X0014
loc000n009,78.42,1.0,07574X0014
loc000n010,80.75,1.0,07574X0014
loc000n011,73.09,1.0,07574X0014
loc000n012,76.29,1.0,07574X0014
loc000n013,76.55,1.0,07574X0014
loc000n014,77.04,1.0,07574X0014
loc000n015,77.03,1.0,07574X0014
loc000n016,78.0,1.0,07574X0014
loc000n017,78.87,1.0,07574X0014
loc000n018,79.21,1.0,07574X0014
loc000n019,79.13,1.0,07574X0014
loc000n020,79.04,1.0,07574X0014
loc000n021,77.84,1.0,07574X0014
loc000n022,77.38,1.0,07574X0014
loc000n023,77.0,1.0,07574X0014
loc000n024,76.72,1.0,07574X0014
loc000n025,76.87,1.0,07574X0014
loc000n026,76.89,1.0,07574X0014
loc000n027,77.42,1.0,07574X0014
loc000n028,77.03,1.0,07574X0014
loc000n029,78.03,1.0,07574X0014
loc000n030,75.55,1.0,07574X0014
loc000n031,77.41,1.0,07574X0014
loc000n032,70.78,1.0,07574X0014
loc000n033,68.84,1.0,07574X0014
loc000n034,75.46,1.0,07574X0014
loc000n035,75.53,1.0,07574X0014
loc000n036,75.44,1.0,07574X0014
loc000n037,75.46,1.0,07574X0014
loc000n038,75.37,1.0,07574X0014
loc000n039,76.15,1.0,07574X0014
loc000n040,77.12,1.0,07574X0014
loc000n041,77.96,1.0,07574X0014
loc000n042,77.89,1.0,07574X0014
loc000n043,77.41,1.0,07574X0014
loc000n044,77.6,1.0,07574X0014
loc000n045,71.76,1.0,07574X0014
loc000n046,68.25,1.0,07574X0014
loc000n047,71.87,1.0,07574X0014
loc000n048,75.45,1.0,07574X0014
loc000n049,75.35,1.0,07574X0014
loc000n050,75.34,1.0,07574X0014
loc000n051,75.87,1.0,07574X0014
loc000n052,76.41,1.0,07574X0014
loc000n053,76.09,1.0,07574X0014
loc000n054,72.73,1.0,07574X0014
loc000n055,77.01,1.0,07574X0014
loc000n056,77.72,1.0,07574X0014
loc000n057,74.69,1.0,07574X0014
loc000n058,74.77,1.0,07574X0014
loc000n059,74.7,1.0,07574X0014
loc000n060,75.11,1.0,07574X0014
loc000n061,76.6,1.0,07574X0014
loc000n062,78.16,1.0,07574X0014
loc000n063,78.22,1.0,07574X0014
loc000n064,78.52,1.0,07574X0014
loc000n065,78.25,1.0,07574X0014
loc000n066,78.18,1.0,07574X0014
loc000n067,78.4,1.0,07574X0014
loc000n068,70.65,1.0,07574X0014
loc000n069,70.6,1.0,07574X0014
loc000n070,75.72,1.0,07574X0014
loc000n071,75.62,1.0,07574X0014
loc000n073,75.66,1.0,07574X0014
loc000n075,75.63,1.0,07574X0014
loc000n077,75.57,1.0,07574X0014
loc000n079,75.58,1.0,07574X0014
loc000n081,75.64,1.0,07574X0014
loc000n083,75.69,1.0,07574X0014
loc000n085,75.6,1.0,07574X0014
loc000n087,75.6,1.0,07574X0014
loc000n089,75.62,1.0,07574X0014
loc000n091,75.54,1.0,07574X0014
loc000n094,75.55,1.0,07574X0014
loc000n095,75.58,1.0,07574X0014
loc000n097,75.6,1.0,07574X0014
loc000n099,75.64,1.0,07574X0014
loc000n101,75.71,1.0,07574X0014
loc000n103,75.72,1.0,07574X0014
loc000n105,75.87,1.0,07574X0014
loc000n107,75.88,1.0,07574X0014
loc000n109,75.94,1.0,07574X0014
loc000n111,75.98,1.0,07574X0014
loc000n113,75.99,1.0,07574X0014
loc000n115,76.02,1.0,07574X0014
loc000n117,76.11,1.0,07574X0014
loc000n119,76.2,1.0,07574X0014
loc000n121,76.23,1.0,07574X0014
loc000n125,76.26,1.0,07574X0014
loc000n126,76.26,1.0,07574X0014
loc000n128,76.27,1.0,07574X0014
loc000n130,76.27,1.0,07574X0014
loc000n132,76.33,1.0,07574X0014
loc000n134,76.33,1.0,07574X0014
loc000n136,76.29,1.0,07574X0014
loc000n138,76.36,1.0,07574X0014
loc000n140,76.39,1.0,07574X0014
loc000n142,76.35,1.0,07574X0014
loc000n144,76.4,1.0,07574X0014
loc000n146,76.4,1.0,07574X0014
loc000n148,76.35,1.0,07574X0014
loc000n150,76.34,1.0,07574X0014
loc000n152,76.39,1.0,07574X0014
loc000n156,76.67,1.0,07574X0014
loc000n157,76.63,1.0,07574X0014
loc000n159,76.59,1.0,07574X0014
