parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
cap_sol_progr_2,none,absolute(1),250.0,100.0,350.0,cap_sol_progr,1,0,1
cap_sol_progr_8,none,absolute(1),250.0,100.0,350.0,cap_sol_progr,1,0,1
emmca_l02_z01_00,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_01,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_02,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_03,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_04,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_05,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_06,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_07,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_08,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_09,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_10,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_11,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_12,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_13,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_14,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_15,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_16,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_17,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_18,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_19,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_20,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_21,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_22,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_23,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_24,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_25,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_26,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_27,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_28,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_29,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_30,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_31,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_32,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_33,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_34,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_35,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_36,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_37,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
emmca_l02_z01_38,none,absolute(1),-7.0,-12.0,-2.0,emmca_l02,1,0,1
