<< La légende des termes est placée à la fin du fichier >>
 Projet Modifié (Lizonne.rma) [V7.8]
Date           	Date           	Entr_Limit     	Sort_Limit     	Entr_Intern_fix	Sort_Intern_fix	Réduct_Pompage 	Désaturation   	Débord/Suintem 	Recharge_Maill 	Évaporat_Maill 	Excès_Irrigat  	Stockage_Posit 	Stockage_Négat 	Rivière->Nappe 	Nappe->Rivière 	Éch_Phas_Posit 	Éch_Phas_Négat 	Drains->Nappe  	Nappe->Drains  	Lacs->Nappe    	Nappe->Lacs    	Transpir_Racin 	Glob_Limites   	Glob_Intern_fix	Glob_Stock     	Glob_Riv_Nappe 	Abs_Déb_Résid  	Déb_Résid_Maxi 	%_Non_Converg  	d_BilQ_Global  	d_BilQ<->QFixé 	Glob_Drain_Napp	Glob_Lacs_Nappe	d_BilanVol_Pas 	%_Non_CV_Gl_Pas	Nombre_Désatur 	Nombre_Suintem 	Nombre_Itérat  	Nombre_Sous-pas	Nbre_Réduc_Pomp	
31/07/2010	   212.0000    	  0.1923834    	 -0.7649280    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -1.130899    	   3.159722    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	      0.0023664	  -1.458648    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5725446    	   0.000000    	   0.000000    	  -1.456282    	      0.0234210	      0.0017957	  0.6982005    	 -3.1180020E-06	 -3.1180020E-06	   0.000000    	   0.000000    	 -3.1180020E-06	  9.8679625E-05	   546.0000    	   659.0000    	   500.0000    	   1.000000    	   0.000000    	
01/08/2010	   213.0000    	  0.1932944    	 -0.7529149    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	 -0.9854764    	   2.730085    	   0.000000    	   0.000000    	  0.4219493    	  -1.354961    	      0.0084975	  -1.404310    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5596205    	 -0.7239380    	 -0.9330121    	  -1.395813    	      0.0045389	  7.7104857E-04	  0.1173869    	     -0.0017507	     -0.0017505	   0.000000    	   0.000000    	  -151.2465    	      0.0641203	   545.0000    	   535.0000    	   100.0000    	   1.000000    	   0.000000    	
02/08/2010	   214.0000    	  0.1936186    	 -0.7484275    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.494105    	   5.285438    	   0.000000    	   0.000000    	   2.074642    	 -0.9963121    	      0.0170463	  -1.510607    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5548089    	 -0.7239380    	   1.078330    	  -1.493560    	      0.0793451	      0.0301196	   1.443661    	     -0.0593039	     -0.0593041	   0.000000    	   0.000000    	  -5123.872    	   1.122028    	   527.0000    	   556.0000    	   100.0000    	   1.000000    	   0.000000    	
03/08/2010	   215.0000    	  0.1936186    	 -0.7484275    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.494105    	   5.285438    	   0.000000    	   0.000000    	   2.074642    	 -0.9963121    	      0.0170463	  -1.510607    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5548089    	 -0.7239380    	   1.078330    	  -1.493560    	      0.0793451	      0.0301196	   1.443661    	     -0.0593039	     -0.0593041	   0.000000    	   0.000000    	   0.000000    	   1.122028    	   527.0000    	   556.0000    	   100.0000    	   1.000000    	   0.000000    	
04/08/2010	   216.0000    	  0.1937609    	 -0.7464468    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.459990    	   5.013392    	   0.000000    	   0.000000    	   1.743273    	 -0.9385372    	      0.0165038	  -1.496160    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5526859    	 -0.7239380    	  0.8047357    	  -1.479656    	      0.0103217	      0.0086211	  0.1975947    	     -0.0076141	     -0.0076141	   0.000000    	   0.000000    	  -1315.716    	  0.1518752    	   528.0000    	   571.0000    	   100.0000    	   1.000000    	   0.000000    	
05/08/2010	   217.0000    	  0.1937609    	 -0.7464468    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.459990    	   5.013392    	   0.000000    	   0.000000    	   1.743273    	 -0.9385372    	      0.0165038	  -1.496160    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5526859    	 -0.7239380    	  0.8047357    	  -1.479656    	      0.0103217	      0.0086211	  0.1975947    	     -0.0076141	     -0.0076141	   0.000000    	   0.000000    	   0.000000    	  0.1518752    	   528.0000    	   571.0000    	   100.0000    	   1.000000    	   0.000000    	
06/08/2010	   218.0000    	  0.1937980    	 -0.7459309    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.478641    	   4.835177    	   0.000000    	   0.000000    	   1.472527    	 -0.8666427    	      0.0150335	  -1.489670    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5521329    	 -0.7239380    	  0.6058847    	  -1.474637    	  7.1810338E-05	  4.3859571E-05	      0.0014237	 -5.6370075E-05	 -5.6520520E-05	   0.000000    	   0.000000    	  -9.766746    	      0.0011689	   532.0000    	   586.0000    	   71.00000    	   1.000000    	   0.000000    	
07/08/2010	   219.0000    	  0.1937980    	 -0.7459309    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.478641    	   4.835177    	   0.000000    	   0.000000    	   1.472527    	 -0.8666427    	      0.0150335	  -1.489670    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5521329    	 -0.7239380    	  0.6058847    	  -1.474637    	  7.1810338E-05	  4.3859571E-05	      0.0014237	 -5.6370075E-05	 -5.6520520E-05	   0.000000    	   0.000000    	   0.000000    	      0.0011689	   532.0000    	   586.0000    	   71.00000    	   1.000000    	   0.000000    	
08/08/2010	   220.0000    	  0.1938173    	 -0.7456711    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.379193    	   4.388235    	   0.000000    	   0.000000    	   1.159074    	 -0.8757564    	      0.0134601	  -1.463478    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5518538    	 -0.7239380    	  0.2833180    	  -1.450018    	  9.1309738E-05	  3.5020580E-05	      0.0019869	 -8.5203885E-05	 -8.5258149E-05	   0.000000    	   0.000000    	  -14.73261    	      0.0019429	   543.0000    	   589.0000    	   71.00000    	   1.000000    	   0.000000    	
09/08/2010	   221.0000    	  0.1938173    	 -0.7456711    	   0.000000    	 -0.7239380    	   0.000000    	   0.000000    	  -1.379193    	   4.388235    	   0.000000    	   0.000000    	   1.159074    	 -0.8757564    	      0.0134601	  -1.463478    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5518538    	 -0.7239380    	  0.2833180    	  -1.450018    	  9.1309738E-05	  3.5020580E-05	      0.0019869	 -8.5203885E-05	 -8.5258149E-05	   0.000000    	   0.000000    	   0.000000    	      0.0019429	   543.0000    	   589.0000    	   71.00000    	   1.000000    	   0.000000    	
