<< La légende des termes est placée à la fin du fichier >>
 Projet Modifié (Lizonne.rma) [V7.8]
Date           	Date           	Entr_Limit     	Sort_Limit     	Entr_Intern_fix	Sort_Intern_fix	Réduct_Pompage 	Désaturation   	Débordement    	Recharge_Maill 	Évaporat_Maill 	Excès_Irrigat  	Stockage_Posit 	Stockage_Négat 	Rivière->Nappe 	Nappe->Rivière 	Éch_Phas_Posit 	Éch_Phas_Négat 	Drains->Nappe  	Nappe->Drains  	Lacs->Nappe    	Nappe->Lacs    	Transpir_Racin 	Écart_Volume   	%_Écart_Volum  	Glob_Limites   	Glob_Intern_fix	Glob_Stock     	Glob_Riv_Nappe 	Glob_Drain_Nap 	Glob_Lacs_Napp 	
01/08/2010	   213.0000    	   2108.371    	  -11302.49    	   0.000000    	  -62548.24    	   0.000000    	   0.000000    	  -80965.58    	   35720.06    	   0.000000    	   0.000000    	   19.39173    	  -205979.6    	   3.125522    	  -88953.74    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   21.74482    	      0.0105568	  -9194.124    	  -62548.24    	  -205960.2    	  -88950.62    	   0.000000    	   0.000000    	
02/08/2010	   214.0000    	   4225.936    	  -22476.78    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -167473.9    	   106396.6    	   0.000000    	   0.000000    	   115.4578    	  -383306.8    	   12.42454    	  -178762.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   16.55263    	      0.0043184	  -18250.84    	  -125096.5    	  -383191.4    	  -178750.1    	   0.000000    	   0.000000    	
04/08/2010	   216.0000    	   8480.329    	  -44556.09    	   0.000000    	  -250193.0    	   0.000000    	   0.000000    	  -337193.2    	   246326.0    	   0.000000    	   0.000000    	   153.3722    	  -732927.2    	   32.32842    	  -355655.6    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   14.60286    	      0.0019924	  -36075.77    	  -250193.0    	  -732773.8    	  -355623.3    	   0.000000    	   0.000000    	
06/08/2010	   218.0000    	   12744.18    	  -66503.86    	   0.000000    	  -375289.5    	   0.000000    	   0.000000    	  -505177.3    	   387517.5    	   0.000000    	   0.000000    	   169.7955    	  -1077234.    	   56.82002    	  -530409.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   3.559297    	  3.3041061E-04	  -53759.67    	  -375289.5    	  -1077065.    	  -530352.2    	   0.000000    	   0.000000    	
08/08/2010	   220.0000    	   17012.70    	  -88386.90    	   0.000000    	  -500385.9    	   0.000000    	   0.000000    	  -670101.8    	   524360.3    	   0.000000    	   0.000000    	   177.9004    	  -1420512.    	   80.64125    	  -702910.1    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   3.233719    	  2.2764456E-04	  -71374.20    	  -500385.9    	  -1420334.    	  -702829.5    	   0.000000    	   0.000000    	
10/08/2010	   222.0000    	   21283.66    	  -110235.7    	   0.000000    	  -625482.4    	   0.000000    	   0.000000    	  -832221.7    	   657088.3    	   0.000000    	   0.000000    	   183.9425    	  -1762989.    	   103.8138    	  -873338.7    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   1.775243    	  1.0069510E-04	  -88952.06    	  -625482.4    	  -1762805.    	  -873234.9    	   0.000000    	   0.000000    	
12/08/2010	   224.0000    	   25556.06    	  -132064.0    	   0.000000    	  -750578.9    	   0.000000    	   0.000000    	  -995011.6    	   802823.1    	   0.000000    	   0.000000    	   204.2487    	  -2092149.    	   169.3135    	  -1042843.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -3.877225    	  1.8532262E-04	  -106508.0    	  -750578.9    	  -2091945.    	  -1042673.    	   0.000000    	   0.000000    	
14/08/2010	   226.0000    	   29829.47    	  -153877.7    	   0.000000    	  -875675.4    	   0.000000    	   0.000000    	  -1156287.    	   949776.4    	   0.000000    	   0.000000    	   219.5664    	  -2417090.    	   233.2805    	  -1210875.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -4.855713    	  2.0089086E-04	  -124048.2    	  -875675.4    	  -2416871.    	  -1210641.    	   0.000000    	   0.000000    	
16/08/2010	   228.0000    	   34103.71    	  -175679.1    	   0.000000    	  -1000772.    	   0.000000    	   0.000000    	  -1315062.    	   1092446.    	   0.000000    	   0.000000    	   222.5142    	  -2742063.    	   297.5250    	  -1377183.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -7.551548    	  2.7539662E-04	  -141575.4    	  -1000772.    	  -2741840.    	  -1376885.    	   0.000000    	   0.000000    	
18/08/2010	   230.0000    	   38378.69    	  -197469.5    	   0.000000    	  -1125868.    	   0.000000    	   0.000000    	  -1471746.    	   1232406.    	   0.000000    	   0.000000    	   224.6712    	  -3066062.    	   362.0425    	  -1541909.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -9.268841    	  3.0230445E-04	  -159090.8    	  -1125868.    	  -3065837.    	  -1541547.    	   0.000000    	   0.000000    	
20/08/2010	   232.0000    	   42654.39    	  -219249.2    	   0.000000    	  -1250965.    	   0.000000    	   0.000000    	  -1627038.    	   1372458.    	   0.000000    	   0.000000    	   227.7690    	  -3387196.    	   426.8288    	  -1705268.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -12.52705    	  3.6983536E-04	  -176594.8    	  -1250965.    	  -3386968.    	  -1704841.    	   0.000000    	   0.000000    	
22/08/2010	   234.0000    	   46930.78    	  -241018.5    	   0.000000    	  -1376061.    	   0.000000    	   0.000000    	  -1780014.    	   1508539.    	   0.000000    	   0.000000    	   227.7711    	  -3708402.    	   491.8797    	  -1867055.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -14.20152    	  3.8295519E-04	  -194087.7    	  -1376061.    	  -3708174.    	  -1866564.    	   0.000000    	   0.000000    	
24/08/2010	   236.0000    	   51207.86    	  -262777.5    	   0.000000    	  -1501158.    	   0.000000    	   0.000000    	  -1930768.    	   1640829.    	   0.000000    	   0.000000    	   228.4199    	  -4029669.    	   557.1910    	  -2027348.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -16.39400    	  4.0683241E-04	  -211569.6    	  -1501158.    	  -4029441.    	  -2026791.    	   0.000000    	   0.000000    	
26/08/2010	   238.0000    	   55485.62    	  -284526.2    	   0.000000    	  -1626254.    	   0.000000    	   0.000000    	  -2079395.    	   1769495.    	   0.000000    	   0.000000    	   232.8397    	  -4350977.    	   622.7589    	  -2186190.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -18.23107    	  4.1901106E-04	  -229040.6    	  -1626254.    	  -4350744.    	  -2185568.    	   0.000000    	   0.000000    	
28/08/2010	   240.0000    	   59764.05    	  -306264.7    	   0.000000    	  -1751351.    	   0.000000    	   0.000000    	  -2225977.    	   1894690.    	   0.000000    	   0.000000    	   232.9156    	  -4672286.    	   688.5796    	  -2343623.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -19.20361    	  4.1101108E-04	  -246500.7    	  -1751351.    	  -4672053.    	  -2342934.    	   0.000000    	   0.000000    	
01/09/2010	   244.0000    	   68238.64    	  -350871.9    	   0.000000    	  -1780964.    	   0.000000    	   0.000000    	  -2534566.    	   2135230.    	   0.000000    	   0.000000    	   64024.86    	  -5190336.    	   821.0154    	  -2664219.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -19.68014    	  3.7916895E-04	  -282633.2    	  -1780964.    	  -5126311.    	  -2663398.    	   0.000000    	   0.000000    	
02/09/2010	   245.0000    	   70353.49    	  -362076.6    	   0.000000    	  -1788367.    	   0.000000    	   0.000000    	  -2611475.    	   2193407.    	   0.000000    	   0.000000    	   77316.93    	  -5318862.    	   854.2583    	  -2744260.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -19.93103    	  3.7472360E-04	  -291723.1    	  -1788367.    	  -5241545.    	  -2743406.    	   0.000000    	   0.000000    	
04/09/2010	   247.0000    	   74576.01    	  -384584.9    	   0.000000    	  -1803174.    	   0.000000    	   0.000000    	  -2764654.    	   2307518.    	   0.000000    	   0.000000    	   97961.49    	  -5571210.    	   920.8254    	  -2903870.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -20.09081    	  3.6061850E-04	  -310008.9    	  -1803174.    	  -5473249.    	  -2902950.    	   0.000000    	   0.000000    	
06/09/2010	   249.0000    	   78795.52    	  -407133.7    	   0.000000    	  -1817980.    	   0.000000    	   0.000000    	  -2917218.    	   2420668.    	   0.000000    	   0.000000    	   114430.0    	  -5819273.    	   987.5320    	  -3062982.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -20.12298    	  3.4579890E-04	  -328338.2    	  -1817980.    	  -5704843.    	  -3061995.    	   0.000000    	   0.000000    	
08/09/2010	   251.0000    	   83013.99    	  -429696.2    	   0.000000    	  -1832787.    	   0.000000    	   0.000000    	  -3071417.    	   2543871.    	   0.000000    	   0.000000    	   128127.1    	  -6056268.    	   1050.941    	  -3222198.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -21.08611    	  3.4817010E-04	  -346682.2    	  -1832787.    	  -5928141.    	  -3221147.    	   0.000000    	   0.000000    	
10/09/2010	   253.0000    	   87232.26    	  -452260.2    	   0.000000    	  -1847593.    	   0.000000    	   0.000000    	  -3225894.    	   2670379.    	   0.000000    	   0.000000    	   139627.7    	  -6287809.    	   1113.727    	  -3381182.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -23.51365    	  3.7395617E-04	  -365028.0    	  -1847593.    	  -6148181.    	  -3380068.    	   0.000000    	   0.000000    	
12/09/2010	   255.0000    	   91450.75    	  -474820.5    	   0.000000    	  -1862400.    	   0.000000    	   0.000000    	  -3379198.    	   2793477.    	   0.000000    	   0.000000    	   149072.6    	  -6518895.    	   1176.870    	  -3539532.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -23.80416    	  3.6515635E-04	  -383369.7    	  -1862400.    	  -6369822.    	  -3538355.    	   0.000000    	   0.000000    	
14/09/2010	   257.0000    	   95669.62    	  -497374.6    	   0.000000    	  -1877206.    	   0.000000    	   0.000000    	  -3531243.    	   2913306.    	   0.000000    	   0.000000    	   156921.8    	  -6749725.    	   1240.362    	  -3697219.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -23.96827    	  3.5509993E-04	  -401705.0    	  -1877206.    	  -6592803.    	  -3695979.    	   0.000000    	   0.000000    	
16/09/2010	   259.0000    	   99888.95    	  -519921.4    	   0.000000    	  -1892013.    	   0.000000    	   0.000000    	  -3682046.    	   3029996.    	   0.000000    	   0.000000    	   163442.4    	  -6980452.    	   1304.195    	  -3854240.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -20.18858    	  2.8921593E-04	  -420032.5    	  -1892013.    	  -6817010.    	  -3852936.    	   0.000000    	   0.000000    	
18/09/2010	   261.0000    	   104108.8    	  -542460.5    	   0.000000    	  -1906819.    	   0.000000    	   0.000000    	  -3831671.    	   3143671.    	   0.000000    	   0.000000    	   168767.3    	  -7211146.    	   1368.362    	  -4010598.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -22.14676    	  3.0711841E-04	  -438351.7    	  -1906819.    	  -7042379.    	  -4009230.    	   0.000000    	   0.000000    	
20/09/2010	   263.0000    	   108329.1    	  -564991.7    	   0.000000    	  -1921626.    	   0.000000    	   0.000000    	  -3980124.    	   3254445.    	   0.000000    	   0.000000    	   173101.0    	  -7441901.    	   1432.855    	  -4166297.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -32.30567    	  4.3410510E-04	  -456662.5    	  -1921626.    	  -7268800.    	  -4164864.    	   0.000000    	   0.000000    	
22/09/2010	   265.0000    	   112550.0    	  -587514.8    	   0.000000    	  -1936433.    	   0.000000    	   0.000000    	  -4127409.    	   3362426.    	   0.000000    	   0.000000    	   176706.3    	  -7672886.    	   1497.667    	  -4321330.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33.06201    	  4.3089405E-04	  -474964.8    	  -1936433.    	  -7496180.    	  -4319833.    	   0.000000    	   0.000000    	
24/09/2010	   267.0000    	   116771.4    	  -610029.8    	   0.000000    	  -1951239.    	   0.000000    	   0.000000    	  -4274473.    	   3471698.    	   0.000000    	   0.000000    	   179775.8    	  -7901356.    	   1561.781    	  -4475912.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -42.30949    	  5.3547122E-04	  -493258.4    	  -1951239.    	  -7721580.    	  -4474350.    	   0.000000    	   0.000000    	
26/09/2010	   269.0000    	   120993.3    	  -632536.7    	   0.000000    	  -1966046.    	   0.000000    	   0.000000    	  -4420730.    	   3579674.    	   0.000000    	   0.000000    	   182359.3    	  -8129250.    	   1625.807    	  -4629914.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -42.60612    	  5.2410891E-04	  -511543.4    	  -1966046.    	  -7946891.    	  -4628288.    	   0.000000    	   0.000000    	
