<< La légende des termes est placée à la fin du fichier >>
 Projet Modifié (Lizonne.rma) [V7.8]
Date           	Date           	Entr_Limit     	Sort_Limit     	Entr_Intern_fix	Sort_Intern_fix	Réduct_Pompage 	Désaturation   	Débordement    	Recharge_Maill 	Évaporat_Maill 	Excès_Irrigat  	Stockage_Posit 	Stockage_Négat 	Rivière->Nappe 	Nappe->Rivière 	Éch_Phas_Posit 	Éch_Phas_Négat 	Drains->Nappe  	Nappe->Drains  	Lacs->Nappe    	Nappe->Lacs    	Transpir_Racin 	Écart_Volume   	%_Écart_Volum  	Glob_Limites   	Glob_Intern_fix	Glob_Stock     	Glob_Riv_Nappe 	Glob_Drain_Nap 	Glob_Lacs_Napp 	
01/08/2010	   213.0000    	   2108.371    	  -11302.49    	   0.000000    	  -62548.24    	   0.000000    	   0.000000    	  -80965.58    	   35720.06    	   0.000000    	   0.000000    	   19.39173    	  -205979.6    	   3.125522    	  -88953.74    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   21.74482    	      0.0105568	  -9194.124    	  -62548.24    	  -205960.2    	  -88950.62    	   0.000000    	   0.000000    	
02/08/2010	   214.0000    	   2117.565    	  -11174.28    	   0.000000    	  -62548.24    	   0.000000    	   0.000000    	  -86508.36    	   70676.51    	   0.000000    	   0.000000    	   96.06604    	  -177327.2    	   9.299014    	  -89808.79    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -5.192187    	      0.0029280	  -9056.715    	  -62548.24    	  -177231.1    	  -89799.49    	   0.000000    	   0.000000    	
04/08/2010	   216.0000    	   4254.392    	  -22079.32    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -169719.2    	   139929.4    	   0.000000    	   0.000000    	   37.91446    	  -349620.4    	   19.90388    	  -176893.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -1.949775    	  5.5768343E-04	  -17824.93    	  -125096.5    	  -349582.4    	  -176873.1    	   0.000000    	   0.000000    	
06/08/2010	   218.0000    	   4263.853    	  -21947.76    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -167984.1    	   141191.5    	   0.000000    	   0.000000    	   16.42328    	  -344307.3    	   24.49161    	  -174753.4    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -11.04356    	      0.0032075	  -17683.91    	  -125096.5    	  -344290.9    	  -174728.9    	   0.000000    	   0.000000    	
08/08/2010	   220.0000    	   4268.514    	  -21883.04    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -164924.5    	   136842.8    	   0.000000    	   0.000000    	   8.104912    	  -343277.9    	   23.82123    	  -172501.2    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.3255778    	  9.4843795E-05	  -17614.53    	  -125096.5    	  -343269.8    	  -172477.3    	   0.000000    	   0.000000    	
10/08/2010	   222.0000    	   4270.962    	  -21848.82    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -162119.8    	   132728.0    	   0.000000    	   0.000000    	   6.042134    	  -342476.2    	   23.17256    	  -170428.6    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -1.458476    	  4.2586204E-04	  -17577.85    	  -125096.5    	  -342470.1    	  -170405.4    	   0.000000    	   0.000000    	
12/08/2010	   224.0000    	   4272.401    	  -21828.31    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -162789.9    	   145734.8    	   0.000000    	   0.000000    	   20.30614    	  -329160.5    	   65.49969    	  -169503.9    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -5.652468    	      0.0017172	  -17555.91    	  -125096.5    	  -329140.2    	  -169438.4    	   0.000000    	   0.000000    	
14/08/2010	   226.0000    	   4273.410    	  -21813.66    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -161275.2    	   146953.3    	   0.000000    	   0.000000    	   15.31774    	  -324941.2    	   63.96697    	  -168032.1    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.9784879    	  3.0112771E-04	  -17540.25    	  -125096.5    	  -324925.8    	  -167968.2    	   0.000000    	   0.000000    	
16/08/2010	   228.0000    	   4274.238    	  -21801.47    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -158774.8    	   142670.1    	   0.000000    	   0.000000    	   2.947757    	  -324972.4    	   64.24450    	  -166307.9    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -2.695834    	  8.2955805E-04	  -17527.23    	  -125096.5    	  -324969.4    	  -166243.6    	   0.000000    	   0.000000    	
18/08/2010	   230.0000    	   4274.986    	  -21790.34    	   0.000000    	  -125096.5    	   0.000000    	   0.000000    	  -156684.8    	   139959.9    	   0.000000    	   0.000000    	   2.157033    	  -323999.1    	   64.51758    	  -164726.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -1.717293    	  5.3003028E-04	  -17515.36    	  -125096.5    	  -323996.9    	  -164662.0    	   0.000000    	   0.000000    	
