<< La légende des termes est placée à la fin du fichier >>
 Projet Modifié (Lizonne.rma) [V7.8]
Date (Flux)    	Date (Flux)    	Température    	Flux_Pluie     	Flux_Neige     	Flux_ETP       	Flux_ETR       	Fl_ETR_Sol     	Transpiration  	Stock_Neige    	Fl_Fonte_Neige 	Ruissellement  	Infiltration   	Défic_Évapotra 	Déficit_Sol    	Défic_Sol_Prog 	Réser_Interm.  	Cum_Pluie      	Cum_Neige      	Cum_ETP        	Cum_ETR        	Cum_ETRSol     	Cum_Transpir   	Cum_Font_Neig  	Cum_Ruissel.   	Cum_Infiltr    	Cum_Défic_Evap 	LAI_ou_CC      	Profon_Racines 	
31/07/2010	   212.0000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
01/08/2010	   213.0000    	   0.000000    	   16.78546    	   0.000000    	   1.588718    	   1.588718    	   1.588718    	   0.000000    	   0.000000    	   0.000000    	      0.0541025	      0.0523371	   0.000000    	   0.000000    	  1.0098556E-15	   15.09030    	   16.78546    	   0.000000    	   1.588718    	   1.588718    	   1.588718    	   0.000000    	   0.000000    	      0.0541025	      0.0523371	   0.000000    	   0.000000    	   0.000000    	
02/08/2010	   214.0000    	   0.000000    	   0.000000    	   0.000000    	   3.520403    	   3.520016    	   3.520016    	   0.000000    	   0.000000    	   0.000000    	  0.1577369    	  0.1035553    	   0.000000    	   0.000000    	   3.520016    	   14.82901    	   16.78546    	   0.000000    	   5.109121    	   5.108734    	   5.108734    	   0.000000    	   0.000000    	  0.2118394    	  0.1558924    	   0.000000    	   0.000000    	   0.000000    	
03/08/2010	   215.0000    	   0.000000    	      0.0886447	   0.000000    	   4.432930    	   3.520016    	   4.428979    	   0.000000    	   0.000000    	   0.000000    	  0.1508476    	  0.1019152    	 -0.9089630    	   0.000000    	   7.860351    	   14.57625    	   16.87410    	   0.000000    	   9.542051    	   8.628751    	   9.537714    	   0.000000    	   0.000000    	  0.3626870    	  0.2578076    	 -0.9089630    	   0.000000    	   0.000000    	
04/08/2010	   216.0000    	   0.000000    	   2.756484    	   0.000000    	   1.967875    	   1.967100    	   1.967100    	   0.000000    	   0.000000    	   0.000000    	  0.1561865    	  0.1031095    	   0.000000    	   0.000000    	   8.170100    	   15.41608    	   19.63059    	   0.000000    	   11.50993    	   10.59585    	   11.50481    	   0.000000    	   0.000000    	  0.5188735    	  0.3609172    	 -0.9089630    	   0.000000    	   0.000000    	
05/08/2010	   217.0000    	   0.000000    	      0.0198168	   0.000000    	   4.516740    	   1.967100    	   4.503343    	   0.000000    	   0.000000    	   0.000000    	  0.1616823    	  0.1042564    	  -2.536243    	   0.000000    	   12.65363    	   15.15014    	   19.65040    	   0.000000    	   16.02667    	   12.56295    	   16.00816    	   0.000000    	   0.000000    	  0.6805558    	  0.4651736    	  -3.445206    	   0.000000    	   0.000000    	
06/08/2010	   218.0000    	   0.000000    	   0.000000    	   0.000000    	   4.329927    	   4.304120    	   4.304120    	   0.000000    	   0.000000    	   0.000000    	  0.1547256    	  0.1026177    	   0.000000    	   0.000000    	   16.95775    	   14.89280    	   19.65040    	   0.000000    	   20.35659    	   16.86707    	   20.31228    	   0.000000    	   0.000000    	  0.8352814    	  0.5677912    	  -3.445206    	   0.000000    	   0.000000    	
07/08/2010	   219.0000    	   0.000000    	   0.000000    	   0.000000    	   5.770037    	   4.304120    	   5.708042    	   0.000000    	   0.000000    	   0.000000    	  0.1481995    	  0.1010253    	  -1.403921    	   0.000000    	   22.66579    	   14.64357    	   19.65040    	   0.000000    	   26.12663    	   21.17119    	   26.02032    	   0.000000    	   0.000000    	  0.9834809    	  0.6688165    	  -4.849127    	   0.000000    	   0.000000    	
08/08/2010	   220.0000    	   0.000000    	   0.000000    	   0.000000    	   5.010147    	   4.924403    	   4.924403    	   0.000000    	   0.000000    	   0.000000    	  0.1420686    	      0.0994769	   0.000000    	   0.000000    	   27.59019    	   14.40203    	   19.65040    	   0.000000    	   31.13678    	   26.09559    	   30.94472    	   0.000000    	   0.000000    	   1.125550    	  0.7682934    	  -4.849127    	   0.000000    	   0.000000    	
09/08/2010	   221.0000    	   0.000000    	   0.000000    	   0.000000    	   4.773553    	   4.924403    	   4.657215    	   0.000000    	   0.000000    	   0.000000    	  0.1363011    	      0.0979702	  0.2671880    	   0.000000    	   32.24741    	   14.16776    	   19.65040    	   0.000000    	   35.91033    	   31.02000    	   35.60194    	   0.000000    	   0.000000    	   1.261851    	  0.8662636    	  -4.581939    	   0.000000    	   0.000000    	
10/08/2010	   222.0000    	   0.000000    	  0.1356410    	   0.000000    	   4.413004    	   4.276535    	   4.276535    	   0.000000    	   0.000000    	   0.000000    	  0.1308683    	      0.0965031	   0.000000    	   0.000000    	   36.38830    	   13.94039    	   19.78604    	   0.000000    	   40.32333    	   35.29653    	   39.87847    	   0.000000    	   0.000000    	   1.392719    	  0.9627667    	  -4.581939    	   0.000000    	   0.000000    	
11/08/2010	   223.0000    	   0.000000    	   6.240073    	   0.000000    	   2.463993    	   4.276535    	   2.463993    	   0.000000    	   0.000000    	   0.000000    	  0.1422651    	  0.1034017    	   1.812542    	   0.000000    	   35.11186    	   16.19436    	   26.02612    	   0.000000    	   42.78733    	   39.57307    	   42.34246    	   0.000000    	   0.000000    	   1.534984    	   1.066168    	  -2.769397    	   0.000000    	   0.000000    	
12/08/2010	   224.0000    	   0.000000    	   0.000000    	   0.000000    	   4.245165    	   4.087507    	   4.087507    	   0.000000    	   0.000000    	   0.000000    	  0.1541814    	  0.1101292    	   0.000000    	   0.000000    	   39.19937    	   15.93005    	   26.02612    	   0.000000    	   47.03249    	   43.66057    	   46.42997    	   0.000000    	   0.000000    	   1.689166    	   1.176298    	  -2.769397    	   0.000000    	   0.000000    	
13/08/2010	   225.0000    	   0.000000    	   0.000000    	   0.000000    	   3.669670    	   4.087507    	   3.505441    	   0.000000    	   0.000000    	   0.000000    	  0.1480510    	  0.1084675    	  0.5820663    	   0.000000    	   42.70481    	   15.67353    	   26.02612    	   0.000000    	   50.70216    	   47.74808    	   49.93541    	   0.000000    	   0.000000    	   1.837217    	   1.284765    	  -2.187331    	   0.000000    	   0.000000    	
14/08/2010	   226.0000    	   0.000000    	  0.1472894    	   0.000000    	   3.683040    	   3.498378    	   3.498378    	   0.000000    	   0.000000    	   0.000000    	  0.1422715    	  0.1068487    	   0.000000    	   0.000000    	   46.05590    	   15.42441    	   26.17341    	   0.000000    	   54.38520    	   51.24646    	   53.43379    	   0.000000    	   0.000000    	   1.979488    	   1.391614    	  -2.187331    	   0.000000    	   0.000000    	
15/08/2010	   227.0000    	   0.000000    	  0.7299634    	   0.000000    	   2.562491    	   3.498378    	   2.447046    	   0.000000    	   0.000000    	   0.000000    	  0.1368575    	  0.1052834    	   1.051332    	   0.000000    	   47.77849    	   15.18778    	   26.90337    	   0.000000    	   56.94769    	   54.74484    	   55.88084    	   0.000000    	   0.000000    	   2.116346    	   1.496897    	  -1.135999    	   0.000000    	   0.000000    	
16/08/2010	   228.0000    	   0.000000    	      0.0546154	   0.000000    	   3.926996    	   3.669526    	   3.669526    	   0.000000    	   0.000000    	   0.000000    	  0.1317412    	  0.1037569    	   0.000000    	   0.000000    	   51.39340    	   14.95228    	   26.95799    	   0.000000    	   60.87469    	   58.41436    	   59.55036    	   0.000000    	   0.000000    	   2.248087    	   1.600654    	  -1.135999    	   0.000000    	   0.000000    	
17/08/2010	   229.0000    	   0.000000    	  0.3498168    	   0.000000    	   3.953846    	   3.669526    	   3.680805    	   0.000000    	   0.000000    	   0.000000    	  0.1268605    	  0.1022550    	     -0.0112797	   0.000000    	   54.72438    	   14.72316    	   27.30780    	   0.000000    	   64.82853    	   62.08389    	   63.23117    	   0.000000    	   0.000000    	   2.374947    	   1.702909    	  -1.147279    	   0.000000    	   0.000000    	
