cd_point,Modele,Usage,insee_commune,nom_commune,cd_hydrogeo,nom_hydrogeo,cd_ce,lib_ce,type_point,Ressource,BSS,lib_point,lieudit,X_L93Original,Y_L93Original,X_L93New,Y_L93New,profondeur,Milieur recepteur,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Somme
A16047007,,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,CURSAC,CURSAC,490074.03,6489581.5,489950,6489600,"0",,50884,40524,37697,0,0,0,0,,,,,,,,,,,129 105
A16047010,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,PERINE,PERINE,490074.03,6489581.5,489950,6489600,"0",,18978,11050,6030,14745,0,7614,24884,16398,14087,21465,21576,1641,14723,27345,19304,20251,23428,263 519
A16047015,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,LES ROCHES,LES ROCHES,490074.03,6489581.5,489950,6489600,"0",,35131,30831,13534,27250,19219,25184,28016,27968,22503,25254,27613,14165,22967,23911,24938,28820,16708,414 012
A16047016,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,TERRE DE L'ANGLADE,TERRE DE L'ANGLADE,490074.03,6489581.5,489950,6489600,"0",,58097,34540,31439,34615,31158,10762,40045,46920,31924,23837,28591,0,24310,,,,,396 238
A16047020,,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,PRAIRIE PEYRAT,PRAIRIE PEYRAT,490074.03,6489581.5,489950,6489600,"0",,7615,6710,6540,6884,4226,4700,6700,,,,,,,,,,,43 375
A16047021,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P72-0400,La Lizonne,CONT,Eau de surface,,LA GRANDE DENNERIE,LA GRANDE DENNERIE,490074.03,6489581.5,489950,6489600,"0",,24256,18737,28120,23160,15992,23010,32681,24677,36223,39080,33850,7790,27780,41590,24888,26734,17141,445 709
A16047024,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,LES ROCHES,LES ROCHES,490074.03,6489581.5,489950,6489600,"0",,18108,12505,9972,12271,7158,60253,19811,35498,42879,17453,18430,7253,23085,16354,14057,10349,5220,330 656
A16047027,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,PERINE,PERINE,490074.03,6489581.5,489950,6489600,"0",,27158,6528,9115,9122,4845,5015,15872,19477,15022,5209,0,0,0,,,,,117 363
A16047030,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,LES GRANDS PRES,LES GRANDS PRES,490074.03,6489581.5,489950,6489600,"0",,9255,9387,5020,3598,5531,7517,11538,6721,6293,5758,1404,0,0,,,,,72 022
A16047031,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,PRES DU BOURG,PRES DU BOURG,490074.03,6489581.5,489950,6489600,"0",,16787,15307,15469,20911,11436,19525,18823,18847,16285,16500,20889,1693,23358,2858,0,16170,28896,263 754
A16047032,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,,,CONT,Eau de surface,,ZN-31,,490074.03,6489581.5,489950,6489600,"0",,27158,6528,9115,9122,4845,5015,15872,19477,15022,5209,0,0,0,,,,,117 363
A16047033,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,,,CONT,Eau de surface,,ZO-50,ZO-37,490074.03,6489581.5,489950,6489600,"0",,0,11520,23771,39123,23423,43834,44603,38564,31519,22484,39618,55,23876,43920,6416,50064,29838,472 628
A16047035,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,LES ROCHES,MOULIN DU PAS,490074.03,6489581.5,489950,6489600,"0",,44527,46814,19691,48179,34867,48301,19811,35498,42879,17453,18430,7253,23085,16354,14057,10349,5220,452 768
A16047036,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,P7230500,Le Voultron,CONT,Eau de surface,,LA BORNETERIE,LA BORNETERIE,490074.03,6489581.5,489950,6489600,"0",,56339,28842,24262,29127,28480,27765,34662,37291,41521,38706,69770,5287,35638,41431,27073,22862,44941,593 997
A16047037,,Agricole,"16047",Blanzaguet-Saint-Cybard,,,,,CONT,Eau de surface,,ZO-43,,490074.03,6489581.5,489950,6489600,"0",,0,2550,5416,0,0,0,0,,,,,,,,,,,7 966
A16047039,ModelePOC,Agricole,"16047",Blanzaguet-Saint-Cybard,,,,,CONT,Eau de surface,,ZI-46,ZI-46,490074.03,6489581.5,489950,6489600,"0",,0,21159,14496,16953,1537,20023,25309,22722,12865,23110,21100,6111,24697,28669,5971,19591,25925,290 238
A16103006,ModelePOC,Agricole,"16103",Combiers,,,P7221040,,CONT,Eau de surface,,LA MOULINE,LA MOULINE,496717,6491489,496717,6491489,"0",,3270,7525,6690,3365,0,2980,9640,1752,6474,6590,9732,0,11412,7606,4332,3324,852,85 544
A16125006,ModelePOC,Agricole,"16125",�don,,,P7220530,La Manore,CONT,Eau de surface,,LA CASSINE,LA CASSINE,493147.22,6491107,495012,6490787,"0",,53090,32800,26430,47710,34420,36640,40130,27280,31270,37970,34850,2150,25660,38800,3650,25040,17700,515 590
A16125007,ModelePOC,Agricole,"16125",�don,,,P72-0400,La Lizonne,CONT,Eau de surface,,VIRADES,VIRADES,493147.22,6491107,492830,6488401,"0",,11700,18640,20090,25380,16630,25750,18010,14130,13640,21190,15260,0,10490,9570,8820,2500,20860,252 660
A16125008,,Agricole,"16125",�don,,,P7220530,La Manore,CONT,Eau de surface,,LA GELIE,LA GELIE,493147.22,6491107,494338,6492443,"0",,10870,0,10450,15680,1920,3220,0,,,,,,,,,,,42 140
A16125012,,Agricole,"16125",�don,,,P72-0400,La Lizonne,CONT,Eau de surface,,LE MENIEUX,LE MENIEUX,493147.22,6491107,493729,6489297,"0",,8400,7840,0,0,0,6560,0,,,,,,,,,,,22 800
A16147007,ModelePOC,Agricole,"16147",Gardes-le-Pontaroux,,,P7230500,Le Voultron,CONT,Eau de surface,,MALSAISIE / FONTENELLES,MALSAISIE / FONTENELLES,489990.72,6493624,489032,6493881,"0",,10984,17395,29348,30501,23802,30628,9424,13626,31145,28566,24771,27499,15671,25458,22809,44961,32961,419 549
A16147009,ModelePOC,Agricole,"16147",Gardes-le-Pontaroux,,,P7230500,Le Voultron,CONT,Eau de surface,,BURGAUD,BURGAUD,489990.72,6493624,488602,6492660,"0",,4034,16544,30660,15920,8143,11578,16473,11250,11250,11250,11250,1568,1763,13310,7485,1085,0,173 563
A16147011,ModelePOC,Agricole,"16147",Gardes-le-Pontaroux,,,P7230500,Le Voultron,CONT,Eau de surface,,LES GRANDS PRES,LES GRANDS PRES,489990.72,6493624,489032,6493881,"0",,15727,8301,11801,17906,19320,7993,22334,19614,19712,18479,18892,4045,19412,8680,15914,22907,22347,273 384
A16162006,ModelePOC,Agricole,"16162",Gurat,,,P7240500,Le Roncenac,CONT,Eau de surface,,LES VIGNES DE LAMBOURY,LES VIGNES DE LAMBOURY,486278.5,6485536,486881,6486146,"0",,53760,45810,35200,31160,31130,28990,25730,25730,25200,25840,24310,26020,25330,27080,39070,27400,18060,515 820
A16162008,ModelePOC,Agricole,"16162",Gurat,,,P7240500,Le Roncenac,CONT,Eau de surface,,LA RIVIERE,LA RIVIERE,486278.5,6485536,486881,6486146,"0",,2380,1730,2280,3730,2690,9670,12250,8460,0,0,0,0,3814,7336,3662,2599,0,60 601
A16162009,,Agricole,"16162",Gurat,,,P72-0400,La Lizonne,CONT,Eau de surface,,Point de Prelevement Agricole de FONTAINE GARREAUD,LIZONNE,485571.2095,6485828.589,487061,6484517,"0",,4317,720,5127,0,0,0,0,,,,,,,,,,,10 164
