,node,qmax,hmin
aqpump_08647,8647,0.08803604656138847,71.60448333333333
aqpump_08656,8656,0.0053746616208431965,125.27013333333333
aqpump_08800,8800,0.2989128593217015,57.18686666666667
aqpump_08958,8958,0.0826051545793109,79.0177
aqpump_09115,9115,0.10207414293612926,80.92646666666667
aqpump_09349,9349,0.07745310920167663,97.5578
aqpump_09355,9355,0.01809768063054577,119.1001
aqpump_10328,10328,1.9973131449734909,-153.9
aqpump_10722,10722,6.723967250077368,-116.8
aqpump_18427,18427,0.029208909492114684,126.0
aqpump_18428,18428,0.017733207768583375,126.3
aqpump_18577,18577,0.2790506584478292,110.4
aqpump_18717,18717,0.10028224308810264,94.1
aqpump_18719,18719,0.12430620372529799,99.6
aqpump_18727,18727,0.4307960338269325,94.9
aqpump_18805,18805,0.3531243705906513,91.1
aqpump_18807,18807,0.33094318145100227,92.6
aqpump_18881,18881,0.21944537462361455,91.0
aqpump_18884,18884,0.24022175628387943,94.0
aqpump_18899,18899,0.007390471656082349,99.84686666666666
aqpump_18947,18947,0.05260150068968699,82.1
aqpump_18951,18951,0.062374023053691,98.7
aqpump_18961,18961,0.17054502719261966,96.3
aqpump_19023,19023,0.0533753215672163,71.1
aqpump_19026,19026,0.040150867438661246,93.6
aqpump_19029,19029,0.05911187805347501,98.0
aqpump_19032,19032,0.029693550561705244,109.6
aqpump_19033,19033,0.07838035354520426,96.0
aqpump_19100,19100,0.05670098489183227,62.2
aqpump_19101,19101,0.05331970146522394,69.8
aqpump_19109,19109,0.03971801872123352,104.8
aqpump_19113,19113,0.1102395011613919,90.9
aqpump_19117,19117,0.01804090754753718,107.7
aqpump_19177,19177,0.06601112936567882,50.900000000000006
aqpump_19197,19197,0.2917196692639882,70.62606666666667
aqpump_19336,19336,0.08147456717226935,67.1
aqpump_19421,19421,0.42271116469919134,67.3
aqpump_19422,19422,0.5175748135677664,68.8
aqpump_19499,19499,0.7186148751895052,64.9
aqpump_19501,19501,0.711419479604908,70.9
aqpump_19505,19505,0.7397166307932858,62.76546666666667
aqpump_19571,19571,0.29448539397765466,63.2
aqpump_19581,19581,0.08683208453321653,89.6
aqpump_19650,19650,0.6146984106240135,56.2
aqpump_19653,19653,0.8874285096107248,61.7
aqpump_19655,19655,1.0444422378170852,64.7
aqpump_19727,19727,0.6209635282307111,51.3
aqpump_19805,19805,0.7176098678047585,48.9
aqpump_19810,19810,1.1892086783138456,59.9
aqpump_19955,19955,0.37352942489429125,35.3
aqpump_19957,19957,0.436565915094637,37.3
aqpump_20052,20052,0.38864486784436725,93.51213333333334
aqpump_20119,20119,1.1008104133376555,35.5
aqpump_20127,20127,0.3138255853401752,106.2
aqpump_20198,20198,0.8656645375629536,60.3
aqpump_20205,20205,1.5012521982586278,98.2
aqpump_20206,20206,1.3264470283192484,98.9
aqpump_20271,20271,0.8440021645234269,-4.900000000000006
aqpump_20283,20283,4.85436265753764,85.3
aqpump_20362,20362,2.271130067608329,69.8
aqpump_20421,20421,1.2991679202915687,-48.29999999999998
aqpump_20431,20431,1.6455203143285058,48.4
aqpump_20432,20432,2.0326739239049716,55.9
aqpump_20438,20438,2.9184749776905803,75.5
aqpump_20514,20514,2.6394506586578,76.5
aqpump_20587,20587,2.6820264491242476,44.5
aqpump_20590,20590,2.344640300936021,71.8
aqpump_20602,20602,0.059374497627877644,123.3
aqpump_20603,20603,0.059329230990015115,125.9
aqpump_20604,20604,0.05751313353825601,126.3
aqpump_20609,20609,0.017809856646722473,140.9
aqpump_20644,20644,2.5858128119252948,-124.9
aqpump_20673,20673,0.2439509778809716,102.0
aqpump_20678,20678,0.06921195539777462,116.0
aqpump_20751,20751,0.13522340619585288,106.5
aqpump_20808,20808,4.3255002833181395,-103.3
aqpump_20833,20833,0.04591005374219333,116.1
aqpump_20906,20906,0.042981849440023166,116.7
aqpump_20954,20954,7.416480861493131,-173.5
aqpump_20969,20969,2.6855874167280747,-11.599999999999994
aqpump_20975,20975,0.6929426732297758,58.2
aqpump_20976,20976,0.4941165644777863,69.7
aqpump_21026,21026,15.34598193530606,-178.2
aqpump_21111,21111,12.313670134577894,-169.0
aqpump_21112,21112,12.419150154130083,-159.7
aqpump_21125,21125,2.049074114391632,12.900000000000006
aqpump_21205,21205,1.572726136935108,50.2
aqpump_21207,21207,0.8627577459193068,75.1
aqpump_21278,21278,2.378940601712619,0.09999999999999432
aqpump_21356,21356,2.3165209085211282,17.60000000000001
aqpump_21511,21511,2.2008491878429144,41.10000000000001
aqpump_21665,21665,2.2015697550202287,28.0
aqpump_22113,22113,9.428866349361996,-213.40000000000003
aqpump_30123,30123,0.5466817606359167,25.400000000000006
aqpump_30425,30425,0.7832498935165455,-12.200000000000003
aqpump_30431,30431,0.47591523651639067,2.5
aqpump_30511,30511,1.7316883247876027,4.900000000000006
aqpump_30592,30592,6.148268949433089,16.400000000000006
aqpump_30895,30895,4.409421333176712,-23.400000000000006
aqpump_30896,30896,6.353352234867833,-20.400000000000006
aqpump_30963,30963,1.0132804450415558,-62.39999999999999
aqpump_31038,31038,0.9536942675179358,-84.2
aqpump_31049,31049,5.728702478027956,-31.400000000000006
aqpump_31050,31050,7.96131686847269,-27.900000000000006
aqpump_31052,31052,17.10175010580194,-18.200000000000003
aqpump_31123,31123,2.4091301488914683,-40.60000000000001
aqpump_31455,31455,1.7616248600476154,98.8
aqpump_32142,32142,141.41860173956712,-9.599999999999994
aqpump_33286,33286,286.7935260636475,-195.8
